first_name,last_name,email,phone,notes
John,Doe,john.doe@example.com,555-0123,Sales representative for North region
Jane,Smith,jane.smith@example.com,555-0124,Marketing manager
Michael,Johnson,michael.johnson@example.com,555-0125,Software developer
Sarah,Williams,sarah.williams@example.com,555-0126,HR specialist
David,Brown,david.brown@example.com,555-0127,Financial analyst
Emily,Davis,emily.davis@example.com,555-0128,Project coordinator
Robert,Miller,robert.miller@example.com,555-0129,IT support technician
Lisa,Wilson,lisa.wilson@example.com,555-0130,Customer service manager
James,Moore,james.moore@example.com,555-0131,Operations director
Amanda,Taylor,amanda.taylor@example.com,555-0132,Content writer
